gene	B2_rep1
ENSG00000000003.10	1861
ENSG00000000419.8	2139
ENSG00000000457.9	594
ENSG00000000460.12	734
ENSG00000000971.11	2755
ENSG00000000971.11--ENSG00000244414.2	45
ENSG00000001036.9	5813
ENSG00000001084.6	1531
ENSG00000001084.6--ENSG00000231683.2	1
ENSG00000001167.10	1548
ENSG00000001460.13	170
ENSG00000001461.12	397
ENSG00000001497.12	1245
ENSG00000001561.6	337
ENSG00000001617.7	341
ENSG00000001626.10	28
ENSG00000001629.5	1469
ENSG00000001630.11	1065
ENSG00000001630.11--ENSG00000240720.3	20872
ENSG00000001630.11--ENSG00000240720.3--ENSG00000233588.1	33
ENSG00000001631.10	1757
ENSG00000001631.10--ENSG00000243107.1	66
ENSG00000002016.12	361
ENSG00000002016.12--ENSG00000250132.2	4
ENSG00000002079.8	2
ENSG00000002330.9	177
ENSG00000002549.8	4231
ENSG00000002586.13--ENSGR0000002586.13	1901
ENSG00000002587.5	3
ENSG00000002726.15	6
ENSG00000002746.10	229
ENSG00000002822.11	1366
ENSG00000002834.13	8575
ENSG00000002919.10	203
ENSG00000002933.3	23
ENSG00000003056.3	5026
ENSG00000003096.9	259
ENSG00000003096.9--ENSG00000239500.2	6
ENSG00000003137.4	527
ENSG00000003147.13	355
ENSG00000003249.9	348
ENSG00000003393.10	2250
ENSG00000003400.10	565
ENSG00000003402.15	1846
ENSG00000003402.15--ENSG00000234431.2	12
ENSG00000003436.10	6166
ENSG00000003509.11	346
ENSG00000003756.12	1866
ENSG00000003987.9	10
ENSG00000003989.12	16725
ENSG00000004059.6	2327
ENSG00000004059.6--ENSG00000106328.8	134
ENSG00000004139.9	76
ENSG00000004142.7	3455
ENSG00000004399.8	4766
ENSG00000004455.12	3590
ENSG00000004455.12--ENSG00000185839.2	270
ENSG00000004468.8	45
ENSG00000004478.5	5269
ENSG00000004487.11	6655
ENSG00000004534.10	2211
ENSG00000004534.10--ENSG00000003756.12	297
ENSG00000004660.10	26
ENSG00000004700.11	1959
ENSG00000004766.11	909
ENSG00000004776.7	3
ENSG00000004777.14	43
ENSG00000004779.5	1293
ENSG00000004799.7	119
ENSG00000004809.9	1
ENSG00000004838.9	34
ENSG00000004864.9	4599
ENSG00000004866.14	1103
ENSG00000004866.14--ENSG00000214188.5	7
ENSG00000004897.7	5449
ENSG00000004948.9	13
ENSG00000004961.10	472
ENSG00000004975.7	1465
ENSG00000005001.5	3
ENSG00000005007.8	4716
ENSG00000005020.8	588
ENSG00000005022.5	6410
ENSG00000005059.11	54
ENSG00000005073.5	70
ENSG00000005075.11	1549
ENSG00000005075.11--ENSG00000168255.14	375
ENSG00000005075.11--ENSG00000168255.14--ENSG00000228049.5--ENSG00000267645.1	57
ENSG00000005075.11--ENSG00000228049.5--ENSG00000267645.1	380
ENSG00000005100.8	1450
ENSG00000005108.11	483
ENSG00000005156.7	4599
ENSG00000005175.5	2301
ENSG00000005187.7	131
ENSG00000005189.15	280
ENSG00000005194.10	1164
ENSG00000005194.10--ENSG00000263846.1	1
ENSG00000005206.12	600
ENSG00000005238.15	133
ENSG00000005243.5	18
ENSG00000005249.8	89
ENSG00000005302.13	120
ENSG00000005339.8	2405
ENSG00000005379.11	11
ENSG00000005421.4	582
ENSG00000005421.4--ENSG00000105852.6	11
ENSG00000005436.9	496
ENSG00000005448.12	30
ENSG00000005469.7	135
ENSG00000005471.11	630
ENSG00000005471.11--ENSG00000085563.10	1
ENSG00000005483.15	2725
ENSG00000005486.12	663
ENSG00000005513.9	11
ENSG00000005700.10	5883
