gene	pUC57_rep1
ENSG00000000003.10	2300
ENSG00000000419.8	2258
ENSG00000000457.9	624
ENSG00000000460.12	820
ENSG00000000971.11	3116
ENSG00000000971.11--ENSG00000244414.2	58
ENSG00000001036.9	6234
ENSG00000001084.6	1452
ENSG00000001167.10	1048
ENSG00000001460.13	152
ENSG00000001461.12	343
ENSG00000001497.12	1594
ENSG00000001561.6	322
ENSG00000001617.7	389
ENSG00000001626.10	23
ENSG00000001629.5	1623
ENSG00000001630.11	1203
ENSG00000001630.11--ENSG00000240720.3	22303
ENSG00000001630.11--ENSG00000240720.3--ENSG00000233588.1	33
ENSG00000001631.10	1828
ENSG00000001631.10--ENSG00000243107.1	49
ENSG00000002016.12	395
ENSG00000002016.12--ENSG00000250132.2	3
ENSG00000002079.8	3
ENSG00000002330.9	199
ENSG00000002549.8	5030
ENSG00000002586.13--ENSGR0000002586.13	2085
ENSG00000002587.5	8
ENSG00000002726.15	18
ENSG00000002746.10	216
ENSG00000002822.11	1499
ENSG00000002834.13	9333
ENSG00000002919.10	215
ENSG00000002933.3	23
ENSG00000003056.3	5528
ENSG00000003096.9	292
ENSG00000003096.9--ENSG00000239500.2	19
ENSG00000003137.4	583
ENSG00000003147.13	258
ENSG00000003249.9	308
ENSG00000003393.10	2248
ENSG00000003400.10	521
ENSG00000003402.15	1844
ENSG00000003402.15--ENSG00000234431.2	23
ENSG00000003436.10	6437
ENSG00000003509.11	350
ENSG00000003756.12	2035
ENSG00000003987.9	12
ENSG00000003989.12	16416
ENSG00000004059.6	2466
ENSG00000004059.6--ENSG00000106328.8	165
ENSG00000004139.9	37
ENSG00000004142.7	3622
ENSG00000004399.8	4300
ENSG00000004455.12	4242
ENSG00000004455.12--ENSG00000185839.2	320
ENSG00000004468.8	37
ENSG00000004478.5	7031
ENSG00000004487.11	7723
ENSG00000004534.10	2601
ENSG00000004534.10--ENSG00000003756.12	432
ENSG00000004660.10	19
ENSG00000004700.11	2138
ENSG00000004766.11	950
ENSG00000004776.7	2
ENSG00000004777.14	49
ENSG00000004779.5	1738
ENSG00000004799.7	89
ENSG00000004838.9	27
ENSG00000004848.6	1
ENSG00000004864.9	4766
ENSG00000004866.14	1088
ENSG00000004866.14--ENSG00000214188.5	10
ENSG00000004897.7	5760
ENSG00000004948.9	16
ENSG00000004961.10	492
ENSG00000004975.7	1558
ENSG00000005001.5	1
ENSG00000005007.8	5119
ENSG00000005020.8	615
ENSG00000005022.5	7314
ENSG00000005059.11	52
ENSG00000005073.5	46
ENSG00000005075.11	1714
ENSG00000005075.11--ENSG00000168255.14	340
ENSG00000005075.11--ENSG00000168255.14--ENSG00000228049.5--ENSG00000267645.1	63
ENSG00000005075.11--ENSG00000228049.5--ENSG00000267645.1	423
ENSG00000005100.8	1216
ENSG00000005108.11	397
ENSG00000005156.7	5139
ENSG00000005175.5	2491
ENSG00000005187.7	150
ENSG00000005189.15	332
ENSG00000005194.10	1295
ENSG00000005194.10--ENSG00000263846.1	8
ENSG00000005206.12	579
ENSG00000005238.15	108
ENSG00000005243.5	3
ENSG00000005249.8	112
ENSG00000005302.13	130
ENSG00000005339.8	1679
ENSG00000005379.11	11
ENSG00000005421.4	661
ENSG00000005421.4--ENSG00000105852.6	11
ENSG00000005436.9	499
ENSG00000005448.12	20
ENSG00000005469.7	131
ENSG00000005471.11	649
ENSG00000005483.15	2278
ENSG00000005486.12	677
ENSG00000005513.9	7
ENSG00000005700.10	5036
ENSG00000005801.12	839
ENSG00000005810.13	2172
ENSG00000005812.6	1481
ENSG00000005844.13	438
ENSG00000005882.7	78
ENSG00000005884.13	108
ENSG00000005889.11	2643
ENSG00000005893.11	4910
ENSG00000005955.8	1912
ENSG00000005961.13	4
ENSG00000005981.8	72
ENSG00000006007.7	966
ENSG00000006015.13	669
ENSG00000006016.6	3170
ENSG00000006025.7	43
ENSG00000006042.7	943
